,artist_name,song_name,lyrics
0,CHIMMI (취미),Touch,"오렌지 물들은
My lips lipstick
수줍은듯한 코랄 빛
My cheek touch touch
한껏 들뜬 나의 View
위에 살짝 걸쳐 Mascara
적당한 거리에 날 비춰주면
이내 넌 날 향해 웃어
Touch you
Do you love it
온통 물들어 버리게
Dare you
해가 지고 있네
Touch you
피어올라
나는 오늘
Yellow butterfly
네 맘 사이사이를 가로지를래
뻣뻣한 데님처럼 막
그렇게 굴지는 마
I know 내가 퍼져버렸을걸
한껏 들뜬 나의 View
위에 살짝 걸쳐 Mascara
적당한 거리에 날 비춰주면
이내 넌 날 향해 웃어
Touch you
Do you love it
온통 물들어 버리게
Dare you
해가 지고 있네
Touch you
놀랄 틈조차 주지 않는 걸
깊숙이 피어난 is you
is you is you is you
Touch you
Do you love it
온통 물들어 버리게
Dare you
해가 지고 있네
Touch you"
1,커피소년,놀이터,"나만 설레었던 그 밤에
또 설레발쳤던 그 밤에
내 맘을 앗아간 그곳에
아직도 내 맘 있는 그곳에
또 널 찾아가 난 그곳에 있네
내 발걸음이 내 맘 같아서
내 맘은 너의 향길 맡아서
여기 있다고 말하면 어떻게 보일까
아님 아무 말 말고 그냥 기다릴까
혹시나 해서 마주칠까 하는 생각에
바보같이 여길 또 서성이네
여기 있다고 말하면 뭐라 생각할까
아님 오버인 걸까 내 맘 알아줄까
널 보고 싶단 말을 못하고
이리저리 돌려서 말하고
또 니 곁을 맴도는 나야
또 널 찾아가 난 그곳에 있네
내 발걸음이 내 맘 같아서
내 맘은 너의 향길 맡아서
여기 있다고 말하면 어떻게 보일까
아님 아무 말 말고 그냥 기다릴까
혹시나 해서 마주칠까 하는 생각에
바보같이 여길 또 서성이네
여기 있다고 말하면 뭐라 생각할까
아님 오버인 걸까 내 맘 알아줄까
널 보고 싶단 말을 못하고
이리저리 돌려서 말하고
또 니 곁을 맴도는 나야
내가 아프다 말하면 혹시 걱정할까
나와보진 않을까 왜 왔냐고 할까
혹시나 해서 마음 열까 하는 생각에
문자를 썼다 지웠다 하는
정말 바보 같은 내가
여기 있다고 말하면 뭐라 생각할까
아님 오버인 걸까 내 맘 알아줄까
널 사랑한단 말을 못하고
마냥 여기서 널 기다리는
또 니 곁을 맴도는 나야
맴도는 나야
그래 바로 나야"
2,웨스턴 카잇 (Western Kite),좀비,"창백한 얼굴 핏기 없는 입술
나 긴장했나 봐 니 앞에서
넌 멀뚱히 나만 쳐다보고 있어
할 말이 뭔데
이러고서 예
널 좋아해
말해버렸어
넌 초점을 잃은 눈으로 날 쳐다봐
오 미치겠어 제발 꿈이길
난 아무 생각 안 들어
난 아무 생각 안 들어
난 좀비가 돼서
널 한 입 물래
니가 무슨 맛인지 너무 궁금해
내가 널 물고
너도 좀비가 되면
어색한 내 고백은 전부 잊어줄래
저기 초원 위로 저 구름 위로
저 강가에서
우리 둘은 뛰어다닐 거야 라라라
모든 걸 잊을 거야 라라라
넌 아직도 날 못 보고
내 눈은 피하고
하늘만 보고
오 미치겠어 제발 꿈이길
난 아무 생각 안 들어
난 아무 생각 안 들어
난 좀비가 돼서
널 한 입 물래
니가 무슨 맛인지 너무 궁금해
내가 널 물고
너도 좀비가 되면
어색한 내 고백은 전부 잊어줄래
저기 초원 위로 저 구름 위로
저 강가에서
우리 둘은 뛰어다닐 거야 라라라
모든 걸 잊을 거야 라라라"
3,공기남,파란섬 (feat. 1ho & Chan),"날씨가 좋아요 함께 떠날까요
별을 보며 설레는 대화를 해볼까요
좀 더 다가와 줘요
포근한 어깨에 기대
둘만의 Tonight
저 바다를 건너 푸른 섬을 향해
한 배를 타고 한 곳을 바라봐
둘 만의 모험 걱정은 하지 마
우리 함께 가면 되는 걸
두려워 하지 마 너만 있으면 돼
푸른 하늘 끝 그 어딘가 함께해
저 파란 별 끝에 밧줄을 묶고
우리 같이 함께 올라가 볼까
너와 내 앞에 끝없이 펼쳐진
은하수 안에서 헤엄쳐 볼래
그 곳은 어떨지 상상은 안가
네가 있어서 갈 수 있어
기분이 좋아요 함께 떠날래요
달을 보며 꿈같은 대화를 해볼까요
좀 더 다가와 줘요
포근한 어깨에 기대
둘만의 Tonight
I don’t wanna be without you
I don’t wanna be except you
Please hold my hand
And we can find the blue moon
in your eyes
Hold me Please hold me
지금 우리 함께 걷는
이 길의 끝엔 햇살이 기다려
I`m with you Let me with you
Can’t be without you
바람을 타고 무지개를 건너
그 길 위의 햇살을 느껴봐
날씨가 좋아요 함께 떠날래요
별을 보며 설레는 대화를 해볼까요
좀 더 다가와 줘요
포근한 어깨에 기대
둘만의 Tonight
기분이 좋아요 함께 떠날래요
달을 보며 꿈같은 대화를 해볼까요
좀 더 다가와 줘요
포근한 어깨에 기대
둘만의 Tonight
I don’t wanna be without you
I don’t wanna be except you
I don’t wanna be without you
I don’t wanna be except you"
4,스무살,"걷자, 집앞이야 (Feat. 주예인)","hey you 지금 나와
one step two step
and three step and falling
I just want to be with you
너와 함께 걷고 싶어
one step two step and
three step your so lovely
with you
one 너와 내가 함께했던
너와 내가 걸었었던
발끝에 하얀빛이 흩날릴 때
two 기다리고 기다렸던
눈물나게 아름다운 날씨는
향기마저 so beautiful
so wonderful so beautiful
봄처럼 내 손잡아줄래
beautiful girl so wonderful boy
완벽한 하루니까
hey you 지금 나와 집 앞이야
one step two step
and three step and falling
want to be with you
너와 함께 걷고싶어
one step two step and
three step your so lovely
with you
oh dream
한여름밤의 꿈이 아냐
너와 내가 함께 온거야
작년엔 혼자만 왔었던 이 거리에
for you
꿈꾸는 것 같아 아직 난 정말
너 so beautiful
so wonderful so beautiful
봄처럼 내 손잡아줄래
beautiful girl so wonderful boy
완벽한 하루니까
hey you 지금 나와 집 앞이야
one step two step
and three step and falling
want to be with you
너와 함께 걷고싶어
one step two step
and three step your so lovely
with you
stay stay
이젠 더이상 출구가 없어
그러니까
오늘부터 우린이제
신경쓰는 사이야
사랑하는 사이야
늦은밤에도 걸을 수 있는 같이
one step two step
and three step and falling
너와 함께 걷고싶어
one step two step
and three step and falling
want to be with you
one step two step and
three step your so lovely
with you"
5,마틴스미스,집 앞,"잠에 들고 싶지 않아
오늘따라 더
똑같은 일상에
따분했었나 보네 ey
언제 보냐는 네 말을 잊고 있었어
전활 걸게 받아줄래
근데 지금 시간은 몇 시
음 몇 시 늦은 것 같아
바로 준비할 수 있을지 없을지
좀 걸릴 것 같아
맞아 지금 시간이 몇 시
음 몇 시 너무 늦었나
네 집 앞으로 갈게 혹시
부담스럽지 않다면 내게 말해줘
Tell me Come to me now
살짝 걸치고만 나와
벌써 네 집 앞이야
몇 번씩 이 주위를
빙글빙글 돌았어
잠깐만 기다려줘
난 시간이 필요해
이뻐보이고 싶은데 넌
벌써 집 앞에 와 있다고
이상해 기분 얼굴은 빨개지고
서로 민망해 지금 또 어색해서 죽음
근데 지금 시간은 몇 시
음 몇 시 좋을 것 같아
바로 준비할 수 있을지
아니 있지 기다렸는데
맞아 지금 시간이 몇 시
음 몇 시 내가 미쳤나
네 집 앞으로 갈게 혹시
부담스럽지 않다면 내게 말해줘
Tell me Come to me now
살짝 걸치고만 나와
벌써 네 집 앞이야
몇 번씩 이 주위를
빙글빙글 돌았어
잠깐만 기다려줘
난 시간이 필요해
이뻐보이고 싶은데 넌
벌써 집 앞에 와 있다고
나 할 말을 아직 못 했어
지금이 아니면 말 못해
Oh baby
우리 며칠만 생각해 보자고
나도 할 말이 있었는데
네가 먼저 내게 말 해서 baby
Oh baby
지금 네 손을 잡고 싶은데
살짝 걸치고만 나와
baby baby
벌써 네 집 앞이야
몇 번씩 이 주위를
빙글빙글 돌았어
잠깐만 기다려줘
난 시간이 필요해
이뻐보이고 싶은데 넌
벌써 집 앞에 와 있다고
I want to tell you something
I want to tell you something
I want to tell you something
I want to tell you something
잠깐만 기다려줘
난 시간이 필요해
이뻐보이고 싶은데 넌
빨리 집 앞에 와 있어줘
이상해 기분 얼굴은 빨개지고
서로 민망해 지금 왜냐면
입 맞추고 있거든"
6,새벽공방,내(가) 너(를),"이렇게 내가 너를 좋아한다고
이렇게
내가 너를 기다렸다는 걸
이렇게
네가 나를 마주 보는 순간들을
잊지 못할 거야
손꼽아 기다린 일요일에
너와 나눌 얘기들을
난 연습해보곤 해
피크닉 도시락을 만들어
설레는 발걸음 너에게 가는 길
똑딱똑딱 시계초침소리에
속닥속닥 수줍었던 귓속말
구름을 따라 시원한 바람을 따라
너에게로 달려 간다
이렇게 내가 너를 좋아한다고
이렇게
내가 너를 기다렸다는 걸
이렇게
네가 나를 마주 보는 순간들을
잊지 못할 거야
내가 너를 내가 너를
내가 너를
똑딱똑딱 시계 초침 소리에
속닥속닥 수줍었던 귓속말
꽃잎을 따라 들리는 노래를 따라
너를 향해 불러본다
이렇게 내가 너를 좋아한다고
이렇게
내가 너를 기다렸다는 걸
이렇게
네가 나를 마주 보는 순간들을
잊지 못할 거야
꿈만같은 시간들이
일분 일초 흘러가도
내 맘은 언제나 너로
가득히 채워질 거야
이렇게 내가 너를 좋아한다고
내가 너를 기다렸다는 걸
이렇게
네가 나를 마주 보는 순간들을
잊지 못할 거야
내가 너를 내가 너를
내가 너를"
7,바닐라 어쿠스틱,나의 바다,"이마에 붙은 끈적이는 머리카락
떼어주고 싶어지네
손끝에서 느껴지네
바람에 묻혀 너만 못 들은 내 고백
I'm lost in your sea
헤엄쳐 다녔었네 드넓은 이 바다에
고요하게 깊어지는 너의 두 눈을 담고
바다 위에 수놓은 무지개를 타고서
가슴이 말해 꿈꾸듯
너에게 내가 빠져버렸다고
I'm in love I'm in love with you
두 팔을 벌려 나 swim in the sea
I'm in love I'm in love with you
I'm in love guess I'm in love
이 파도에 내 온몸이 출렁이네
너의 바다에 빠져
나 허우적대는 걸 더 깊어지는 걸
yes I'm in love with you
헤엄쳐 다녔었네 드넓은 이 바다에
고요하게 깊어지는 너의 두눈을 담고
바다위에 수놓은 무지개를 타고서
가슴이 말해 꿈꾸듯
너에게 내가 빠져버렸다고
파도에 쓸려 나 모래 위로 밀려가
그곳에서 내 젖은 마음을 말려봐
반짝이는 너 너무 눈이 부셔
또 하염없이 바다를 향해 난
jump in jump in jump in jump in
헤엄쳐 다녔었네 드넓은 이 바다에
고요하게 깊어지는 너의 두눈을 담고
바다위에 수놓은 무지개를 타고서
가슴이 말해 꿈꾸듯 너에게
내가 빠져버렸다고
I'm in love I'm in love with you
두 팔을 벌려 나 swim in the sea
I'm in love I'm in love with you
네게 빠져버렸다고"
8,도란 (Doran),까만 밤,"오늘 밤은 까만 밤하늘과
보내긴 싫었는데
왜 또 가야 하는 건데
내일 밤은 까만 내 마음을
너로 비춰줄래
예쁜 미소로
너의 모습이 가장 눈부신 시간
아마 모든 순간이 그렇겠지만
햇살에 비치는 너의 모습은
내 맘을 심쿵하게 해
나에게서 빛이 난다던 너의 말
그건 너와 함께여서 그런 거야
까만 너의 눈에 아쉬움이 보여
나도 너와 함께하고 싶지만
오늘 밤은 까만 밤하늘과
보내긴 싫었는데
왜 또 가야하는건데
내일 밤은 까만 내 마음을
너로 비춰줄래
예쁜 미소로
오늘 밤도 나는 널 보내야겠지
맘엔 아직 이른 어둠이 내리고
얼마나 많은 밤들을 보내야 하는지
아쉬움은 깊어가는데
왜 항상 하루는 이렇게 짧은지
지는 해를 붙잡아 두고 싶지만
오늘 너의 손을 더 놓기 싫은데
매일 너와 붙어있고 싶어
오늘 밤은 까만 밤하늘과
보내긴 싫었는데
왜 또 가야 하는 건데
내일 밤은 까만 내 마음을
너로 비춰줄래
예쁜 미소로
그렇게 붙잡아도 어쩔 수 없이
난 가야 하는데
웃으며 보내야 하는데
맘처럼 그게 안돼
아쉬운 건 어쩔 수 없어
오늘 밤은 까만 밤하늘과
보내긴 싫었는데
오늘 밤은 까만 밤하늘과
보내긴 싫었는데
왜 또 가야 하는 건데
내일 밤은 까만 내 마음을
너로 비춰줄래
예쁜 미소로
나나 나나나나
나나나나 나나나나 나
나나 나나나나 나나나나 나
나나나 나나나나
나나나나 나나나나 나
나나 나나나나 나나나나 나"
9,KozyPop,"4AM (Song By Bessi, 미래) (Prod. RYUKIE)","이상하게 네게 눈이 가
또 이유 없이 말을 걸고 파
갑작스러운 건 알지만
널 좀 더 빨리 알아가고 파
I can’t waiting
all this freaky night
기다리기 싫어 내일까지
궁금해 너의 일상이 난
녹아 들고 싶어 너에게
넌 날 헷갈리게 해
왜 간지럽게 해
Oh no
더 알고 싶어 너의 맘을
I just wanna call you right now
여전히 잠에 들지 못한 밤
It’s 4AM
너와 나
아직은 잠들기 어려운 이 밤
I just wanna call you right now
여전히 잠에 들지 못한 밤
It’s 4AM
너와 나
아직은 잠들기 어려운 이 밤
I need you babe
Ohhh
I wanna talk with you all night
Ohhh
벌써 네 마음 눈치챘어
망설이지 말고 내게 좀 다가와
Take to me 네 맘을 더 보여줘
Show me what tour made of
네 표정과 말투에
괜히 신경 쓰여 나
또 내 마음을
하루종일 휘저어놓아 너
뒤척거렸어 이 밤을
이상해 이런 기분이
넌 날 헷갈리게 해
왜 간지럽게 해
Oh no
더 알고 싶어 너의 맘을
I just wanna call you right now
여전히 잠에 들지 못한 밤
It’s 4AM
너와 나
아직은 잠들기 어려운 이 밤
I just wanna call you right now
여전히 잠에 들지 못한 밤
It’s 4AM
너와 나
아직은 잠들기 어려운 이 밤
I need you babe
Ohhh
I wanna talk with you all night
Ohhh
Talk with you all night babe"
